feature,importance
csat_score,0.09997431740253221
not_happy_customer,0.09261318292858237
high_risk_flags11,0.07337237383116178
tenure_months,0.06691393645508427
charge_shocks,0.06326271943694137
payment_failures,0.05811649414479432
monthly_logins,0.0494934096957294
"tenure_group_(0, 4]",0.042199891576890594
high_risk_flags16,0.03579401577800461
low_monthly_logins,0.03517720722823771
tenure_fee_interaction,0.03328275977955725
total_revenue,0.03064782901180062
is_happy_customer,0.02910886557747401
usage_trend,0.028169785671307537
charge_increase,0.02532633884500954
low_total_revenue,0.01976165884382327
is_new_customer,0.019448497486333063
activity_ratio,0.016755284469222607
high_risk_flags12,0.010646256558860824
high_risk_flags6,0.010063800020944043
high_risk_flags2,0.00976611228136914
high_risk_flags19,0.008334251166897993
high_risk_flags5,0.008032749802708293
high_risk_flags14,0.007989075575531074
avg_monthly_usage,0.007839658768146539
last_login_days_ago,0.007714910040659636
high_risk_flags27,0.006962052901860193
high_risk_flags15,0.006719331207410299
referral_tenure,0.006611641910648739
avg_session_time,0.0057279748942334705
high_risk_flags1,0.005442708514165063
high_risk_flags40,0.005308406924378117
high_risk_flags18,0.004596774966712199
avg_resolution_time,0.004292229558981237
high_risk_flags33,0.004129637836288156
"tenure_group_(4, 24]",0.003954045730346741
low_logins_csat,0.0038036043118157177
nps_score,0.0037757961798504406
high_risk_flags13,0.0037494575986366354
high_risk_flags8,0.003150450670982038
usage_growth_rate,0.0029058068922474312
email_open_rate,0.002872335400958836
marketing_click_rate,0.002730961084772403
age,0.002357247056215367
monthly_fee,0.0021730370269445946
high_risk_flags20,0.0021560232006361366
high_risk_flags17,0.0021457068709976653
low_usage_csat,0.0016112418429999678
weekly_active_days,0.0015123106983547878
country_Germany,0.0012650906891535502
referral_count,0.0011762757398021133
"tenure_group_(36, 52]",0.0010536174772760496
budget_customer,0.0009755999591315422
payment_method_Bank Transfer,0.0008800363565594593
support_tickets,0.0008626503775327162
"tenure_group_(24, 36]",0.0008178087110362865
customer_segment,0.0007989141401235769
signup_channel_Referral,0.0007251912374149062
contract_type,0.0006563022899786795
discount_applied_No,0.0006357403166578079
high_fee_customer,0.0005296657920950326
discount_applied_Yes,0.0004977160944691631
country_USA,0.00047203282399647245
city_Dhaka,0.0004586588933555997
escalations,0.00045163155985424876
country_Bangladesh,0.0004511867341840969
complaint_type_Service,0.0004164379298813057
features_used_Few,0.0004154329038193511
country_Australia,0.00040041078862459534
gender_Female,0.000395881355854137
country_Canada,0.0003858184095538246
city_Berlin,0.00035275334304409305
is_loyal_customer,0.0003301795659669991
city_Sydney,0.0003214015570056611
loyal_monthly_customer,0.0003161332093635861
signup_channel_Web,0.000313856555031944
features_used_Medium,0.00030674226131279837
survey_response,0.0003030131415577751
high_referral_customer,0.00030261425278175824
gender_Male,0.00029847068160674225
country_UK,0.00029781573119389514
country_India,0.0002885788886714744
city_London,0.00028051627591519284
payment_method_Card,0.0002556222322294879
city_Toronto,0.00025345113395934353
negative_customer,0.00024849281651815073
complaint_type_Technical,0.00024557124940982573
payment_method_PayPal,0.00023687573695732597
signup_channel_Mobile,0.00022783481970262945
price_increase_last_3m_No,0.00020469739213986268
has_referrals,0.0001837149765192154
no_referrals,0.00018074629849704172
city_New York,0.00016643991863286956
price_increase_last_3m_Yes,0.0001660297600664801
complaint_type_Billing,0.00015896146529517343
features_used_Many,0.0001529204376866653
city_Delhi,0.00014197192585179395
auto_payment,0.00011840068772485416
high_escalations,7.266205432831495e-05
"tenure_group_(52, 59]",5.7265392634110535e-05
